Borough,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,Total
Barking and Dagenham,5246,4897,5578,1185,646,4598,2751,12330,9176,24160,70567
Barnet,7324,11098,4116,1439,570,7281,3649,20312,21252,29337,106378
Bexley,5676,4228,3225,968,430,4878,1095,8859,9730,20518,59607
Brent,7932,8349,8074,1526,996,7942,3846,18484,15982,34328,107459
Bromley,7166,7357,4641,1356,610,6479,1779,16642,14773,25175,85978
Camden,6136,9152,7480,1032,680,7676,5096,43214,11881,24792,117139
Croydon,9605,9261,9786,1851,1309,8796,3600,19249,18673,41111,123241
Ealing,7938,8874,7279,1708,844,8311,3377,19370,18713,34161,110575
Enfield,7349,9869,5094,1626,898,6870,4676,17708,22684,32723,109497
Greenwich,7713,6687,6979,1666,933,7656,2857,17668,13371,32457,97987
Hackney,6678,10444,6545,1243,1138,8371,6132,33481,12442,30528,117002
Hammersmith and Fulham,4636,6108,4483,920,513,5898,2180,20204,10015,19729,74686
Haringey,6724,8297,6408,1377,947,7147,6675,22625,19477,29273,108950
Harrow,3796,5486,3884,873,379,3773,1850,10033,10987,17642,58703
Havering,4598,5257,3972,1044,524,4513,1670,12601,9953,20322,64454
Hillingdon,7493,7712,6258,3621,777,7390,2110,19981,16339,29668,101349
Hounslow,6499,7070,6114,1631,677,6796,2085,17203,14329,30440,92844
Islington,5639,8207,5395,981,683,7344,4824,30535,10028,23668,97304
Kensington and Chelsea,3556,6523,4959,662,519,4739,2597,23297,10869,15945,73666
Kingston upon Thames,3061,3301,3884,534,330,2999,863,9807,4113,12687,41579
Lambeth,7778,10159,8901,1624,1425,8842,4502,28472,11833,34560,118096
Lewisham,8157,9248,5941,1417,1122,8238,3570,18666,14897,32646,103902
Merton,3921,4183,3331,829,378,3984,1547,9505,7413,16301,51392
Newham,8021,7120,11002,1971,1179,7846,5858,30925,14898,35559,124379
Redbridge,5684,6956,6199,1206,619,5217,2827,17747,16460,26327,89242
Richmond upon Thames,3655,4995,2050,571,185,3224,942,9900,8453,11820,45795
Southwark,7536,10139,9167,1403,1272,8419,6295,36218,13115,32378,125942
Sutton,3884,4098,2647,745,368,3592,943,8283,8463,16404,49427
Tower Hamlets,7847,10772,10881,1611,975,8797,4300,27911,13857,32859,119810
Waltham Forest,6228,6834,6459,1197,783,5667,2965,17985,14830,25522,88470
Wandsworth,6116,9469,4908,1241,644,6991,3027,21384,14179,26898,94857
Westminster,8133,12580,13024,1347,1293,11956,9309,90402,14202,35490,197736
